"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Barbados","BRB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","7.6543209877","","",
"Brunei Darussalam","BRN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","0.8875739645","","",
"Botswana","BWA","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3539823009","19.8971304819","19.5097548774","19.1771269177","18.8900468994","18.6384747006","18.4162062615","18.2184033065","18.0412371134","18.2530701592","18.4605780177","18.6638918172","18.8631374384","19.0584357741","18.6410057334","18.2188119407","17.7917723813","17.3598031472","16.9228183818","16.4807302231","18.6824498199","17.5562532705","16.3916977115","16.560170394","11.9225037258","12.1243523316","13.3333333333","13.9610871825","","",
"Central African Republic","CAF","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.618556701","19.7324414716","19.0861769809","18.5939887927","18.2066454256","17.893870835","17.6360225141","17.419799931","17.235876157","17.0775170775","16.9397389614","16.8187744459","16.711722782","16.6163141994","16.6024310703","16.5890570431","16.5761646185","16.5637282426","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","16.5517241379","","",
"Canada","CAN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.8350076509","79.4790351638","79.1137368064","78.7387412317","78.3536571116","77.9580717754","77.8859028309","77.8123717809","77.8404886023","77.8692231166","78.2011005925","78.5311691422","78.8594435151","79.1859383006","79.5106679304","79.8336466806","80.1548886738","80.1548886738","80.1548886738","75.1773482638","75.9828606641","76.5343068372","77.1173887142","77.6500597049","78.2138794084","77.0251914917","75.8723415993","75.8953700127","75.9184124093","","",
"Central Europe and the Baltics","CEB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7530222492782","68.6245174782909","68.7133779655961","68.2391161699856","66.5007019313758","64.7665484669056","","",
"Switzerland","CHE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.0580606544","37.3706244912","37.7215635638","37.026155087","37.0474982707","37.0688660745","36.3559226157","36.3559226157","","",
"Channel Islands","CHI","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8969935929","10.4116811497","9.9731182796","9.5748603861","9.2115953804","8.8789053814","8.5730861563","8.2910086145","8.030011353","9.0841898236","10.0650652949","10.9800266312","11.8355019253","12.6371097432","13.3897826701","12.6280786565","11.8533665721","11.0649123366","10.2623470324","9.4452884176","8.6133403186","7.7660919903","6.9031174391","6.0239747093","1.6614122004","5.1282051282","5.1282051282","5.1282051282","","",
"China","CHN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","10.3065366386","9.4335814264","8.5924104898","7.781318969","6.9987217903","7.5188126221","8.0305580306","8.5343691419","9.0304290611","9.5189153023","10","12.6228358277","15.1597219535","17.6148150968","18.0754458088","18.5300470932","18.9787365637","19.4216287946","19.8588354185","20.2904652203","20.716624227","21.2179433631","21.7176881849","22.2158660965","22.7124844559","23.2075505748","23.5706769555","24.5580255558","24.127806563","23.7291026953","24.5171128431","24.382921948","23.6035140063","23.1322288215","22.6301735648","22.3206821602","22.3206821602","22.3206821602","22.3206821602","22.3206821602","","",
"Cote d'Ivoire","CIV","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0014104372","11.0014104372","11.0014104372","11.0014104372","13.9683703537","16.7673891428","19.4123335031","21.9155844156","21.3983722651","20.9047717414","20.43320206","19.9822204662","19.5505074915","19.1368540602","19.4365569846","19.7247706422","20.0021432781","20.2692752709","20.5267234702","20.5523916315","20.5942700813","20.6311535118","20.6586040502","20.6878156934","20.7189635351","20.7435632634","20.7833880426","20.82616179","20.82616179","20.82616179","20.82616179","20.82616179","20.82616179","","",
"Cameroon","CMR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.1919191919","19.1532258065","19.1151515152","19.0763052209","19.0383838384","19","15.9382965166","13.6770679468","11.9386838668","10.5605971897","9.4413129973","8.514185257","7.733642251","7.0674668874","7.6261606782","8.157998424","8.6648711043","9.1484962406","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","9.6104373392","","",
"Congo, Dem. Rep.","COD","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9981096408","19.477596946","19.9171962257","20.3216860788","20.6951111111","21.0409176511","21.1390728477","21.230966501","21.3171792482","21.3982220883","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","21.4745465184","","",
"Congo, Rep.","COG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","26.600660066","26.2091503268","25.8252427184","25.4487179487","25.0793650794","24.7169811321","24.3613707165","24.012345679","23.6697247706","23.3333333333","23.003003003","22.6785714286","22.3598820059","22.0467836257","21.7391304348","23.9520958084","25.283347864","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","26.1723009815","","",
"Colombia","COL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.634650142","7.2057464123","9.4815026425","11.5100430901","13.329575155","14.9708186614","16.4587543847","17.8139044554","19.0532846095","17.4640586006","16.2981007965","15.4061858587","14.7018586576","14.1315701753","13.6603820734","13.2645279611","13.3214285714","13.184964192","13.1719271977","13.1598909105","","",
"Comoros","COM","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","","",
"Cabo Verde","CPV","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7204301075","1.6326530612","1.5533980583","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","1.4814814815","","",
"Costa Rica","CRI","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.6783386912","5.6379866612","6.3445016252","7.5166479659","7.8207266394","9.0163934426","9.1286307054","9.0534979424","","",
"Caribbean small states","CSS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.7506584385659","22.2734757182666","34.6641707306276","34.6641707306276","34.6641707306276","34.6641707306276","","",
"Cuba","CUB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.6804835924","14.6593559206","14.6382692479","14.6172234551","14.5962184234","14.5752540345","14.5543301706","14.5334467142","14.5126035485","14.491800557","14.4710376235","14.4503146326","15.4090789394","13.1965320437","12.4455157839","12.4656316712","11.7945856604","11.1867926279","10.6337117402","10.6337117402","10.6337117402","10.6337117402","10.6337117402","10.6337117402","10.6337117402","","",
